County,State,Estimate,Population_total,Ratio
Louisa,Virginia,6308,37591,0.17
Lunenburg,Virginia,1016,12196,0.08
Madison,Virginia,2240,13261,0.17
Mathews,Virginia,1929,8834,0.22
Mecklenburg,Virginia,4583,30587,0.15
Middlesex,Virginia,1800,10582,0.17
Montgomery,Virginia,25446,98535,0.26
Nelson,Virginia,3368,14930,0.23
New Kent,Virginia,4218,23091,0.18
Northampton,Virginia,1970,11710,0.17
Northumberland,Virginia,2833,12095,0.23
Nottoway,Virginia,1627,15232,0.11
Orange,Virginia,6342,37051,0.17
Page,Virginia,2384,23902,0.1
Patrick,Virginia,2063,17608,0.12
Pittsylvania,Virginia,6574,60354,0.11
Powhatan,Virginia,6228,29652,0.21
Prince Edward,Virginia,3489,22802,0.15
Prince George,Virginia,6203,38353,0.16
Prince William,Virginia,121316,470335,0.26
Pulaski,Virginia,5126,34027,0.15
Rappahannock,Virginia,1966,7370,0.27
Richmond,Virginia,1232,9023,0.14
Roanoke,Virginia,24021,94186,0.26
Rockbridge,Virginia,4537,22573,0.2
Rockingham,Virginia,14475,81948,0.18
Russell,Virginia,2438,26586,0.09
Scott,Virginia,2188,21566,0.1
Shenandoah,Virginia,6353,43616,0.15
Smyth,Virginia,3292,30104,0.11
Southampton,Virginia,2432,17631,0.14
Spotsylvania,Virginia,28052,136215,0.21
Stafford,Virginia,37498,152882,0.25
Surry,Virginia,1021,6422,0.16
Sussex,Virginia,1069,11159,0.1
Tazewell,Virginia,4550,40595,0.11
Warren,Virginia,5938,40164,0.15
Washington,Virginia,9095,53740,0.17
Westmoreland,Virginia,2537,18015,0.14
Wise,Virginia,4124,37383,0.11
Wythe,Virginia,4027,28684,0.14
York,Virginia,21501,68280,0.31
Alexandria city,Virginia,75483,159428,0.47
Bristol city,Virginia,3068,16762,0.18
Buena Vista city,Virginia,657,6478,0.1
Charlottesville city,Virginia,16679,47266,0.35
Chesapeake city,Virginia,53398,244835,0.22
Colonial Heights city,Virginia,3082,17370,0.18
Covington city,Virginia,621,5538,0.11
Danville city,Virginia,5019,40044,0.13
