County,State,Estimate,Population_total,Ratio
Autauga,Alabama,9929,55869,0.18
Baldwin,Alabama,48148,223234,0.22
Barbour,Alabama,2080,24686,0.08
Bibb,Alabama,1678,22394,0.07
Blount,Alabama,5210,57826,0.09
Bullock,Alabama,856,10101,0.08
Butler,Alabama,2230,19448,0.11
Calhoun,Alabama,14620,113605,0.13
Chambers,Alabama,3163,33254,0.1
Cherokee,Alabama,2407,26196,0.09
Chilton,Alabama,3823,44428,0.09
Choctaw,Alabama,1113,12589,0.09
Clarke,Alabama,2050,23622,0.09
Clay,Alabama,999,13235,0.08
Cleburne,Alabama,1616,14910,0.11
Coffee,Alabama,8044,52342,0.15
Colbert,Alabama,7070,55241,0.13
Conecuh,Alabama,1128,12067,0.09
Coosa,Alabama,1059,10663,0.1
Covington,Alabama,4020,37049,0.11
Crenshaw,Alabama,1687,13772,0.12
Cullman,Alabama,8004,83768,0.1
Dale,Alabama,6078,49172,0.12
Dallas,Alabama,3854,37196,0.1
DeKalb,Alabama,6246,71513,0.09
Elmore,Alabama,14060,81209,0.17
Escambia,Alabama,3224,36633,0.09
Etowah,Alabama,12815,102268,0.13
Fayette,Alabama,1451,16302,0.09
Franklin,Alabama,2907,31362,0.09
Geneva,Alabama,2331,26271,0.09
Greene,Alabama,586,8111,0.07
Hale,Alabama,1411,14651,0.1
Henry,Alabama,2076,17205,0.12
Houston,Alabama,15672,105882,0.15
Jackson,Alabama,5175,51626,0.1
Jefferson,Alabama,150124,658573,0.23
Lamar,Alabama,1174,13805,0.09
Lauderdale,Alabama,14948,92729,0.16
Lawrence,Alabama,2930,32924,0.09
Lee,Alabama,34273,164542,0.21
Limestone,Alabama,16971,98915,0.17
Lowndes,Alabama,1037,9726,0.11
Macon,Alabama,2450,18068,0.14
Madison,Alabama,105935,372909,0.28
Marengo,Alabama,2109,18863,0.11
Marion,Alabama,2715,29709,0.09
Marshall,Alabama,12387,96774,0.13
Mobile,Alabama,64689,413210,0.16
Monroe,Alabama,1983,20733,0.1
Montgomery,Alabama,50254,226486,0.22
Morgan,Alabama,18476,119679,0.15
Perry,Alabama,1340,8923,0.15
Pickens,Alabama,2047,19930,0.1
Pike,Alabama,4580,33114,0.14
Randolph,Alabama,2607,22722,0.11
Russell,Alabama,6937,57961,0.12
St. Clair,Alabama,9880,89512,0.11
Shelby,Alabama,62431,217702,0.29
Sumter,Alabama,1744,12427,0.14
Talladega,Alabama,8377,79978,0.1
Tallapoosa,Alabama,5287,40367,0.13
Tuscaloosa,Alabama,39660,209355,0.19
Walker,Alabama,5080,63521,0.08
Washington,Alabama,1437,16326,0.09
Wilcox,Alabama,889,10373,0.09
Winston,Alabama,2201,23629,0.09
Aleutians East Borough,Alaska,301,3337,0.09
Aleutians West Census Area,Alaska,703,5634,0.12
Anchorage Municipality,Alaska,69282,288000,0.24
Bethel Census Area,Alaska,1164,18386,0.06
Bristol Bay Borough,Alaska,143,836,0.17
Denali Borough,Alaska,668,2097,0.32
Dillingham Census Area,Alaska,639,4916,0.13
Fairbanks North Star Borough,Alaska,19402,96849,0.2
Haines Borough,Alaska,625,2530,0.25
Hoonah-Angoon Census Area,Alaska,365,2148,0.17
Juneau City and Borough,Alaska,8666,31974,0.27
Kenai Peninsula Borough,Alaska,9995,58708,0.17
Ketchikan Gateway Borough,Alaska,2437,13901,0.18
Kodiak Island Borough,Alaska,2501,12998,0.19
Kusilvak Census Area,Alaska,157,8314,0.02
Lake and Peninsula Borough,Alaska,148,1592,0.09
Matanuska-Susitna Borough,Alaska,14725,108317,0.14
Nome Census Area,Alaska,891,10004,0.09
North Slope Borough,Alaska,1075,9832,0.11
Northwest Arctic Borough,Alaska,557,7621,0.07
Petersburg Borough,Alaska,623,3266,0.19
Prince of Wales-Hyder Census Area,Alaska,814,6203,0.13
Sitka City and Borough,Alaska,2051,8493,0.24
Skagway Municipality,Alaska,257,1183,0.22
Southeast Fairbanks Census Area,Alaska,890,6893,0.13
Valdez-Cordova Census Area,Alaska,1998,9202,0.22
Wrangell City and Borough,Alaska,374,2502,0.15
Yakutat City and Borough,Alaska,100,579,0.17
Yukon-Koyukuk Census Area,Alaska,468,5230,0.09
Apache,Arizona,5529,71887,0.08
Cochise,Arizona,20253,125922,0.16
Coconino,Arizona,30042,143476,0.21
Gila,Arizona,7368,54018,0.14
Graham,Arizona,3592,38837,0.09
Greenlee,Arizona,791,9498,0.08
La Paz,Arizona,1928,21108,0.09
Maricopa,Arizona,941317,4485414,0.21
Mohave,Arizona,20505,212181,0.1
Navajo,Arizona,10758,110924,0.1
Pima,Arizona,222733,1047279,0.21
Pinal,Arizona,58470,462789,0.13
Santa Cruz,Arizona,5987,46498,0.13
Yavapai,Arizona,45341,235099,0.19
Yuma,Arizona,19912,213787,0.09
Arkansas,Arkansas,1959,17486,0.11
Ashley,Arkansas,1703,19657,0.09
Baxter,Arkansas,5682,41932,0.14
Benton,Arkansas,58000,279141,0.21
Boone,Arkansas,4193,37432,0.11
Bradley,Arkansas,1078,10763,0.1
Calhoun,Arkansas,424,5189,0.08
Carroll,Arkansas,4213,28380,0.15
Chicot,Arkansas,1182,10118,0.12
Clark,Arkansas,3508,22320,0.16
Clay,Arkansas,1323,14551,0.09
Cleburne,Arkansas,2906,24919,0.12
Cleveland,Arkansas,926,7956,0.12
Columbia,Arkansas,2879,23457,0.12
Conway,Arkansas,2263,20846,0.11
Craighead,Arkansas,18091,110332,0.16
Crawford,Arkansas,6747,63257,0.11
Crittenden,Arkansas,5400,47955,0.11
Cross,Arkansas,1661,16419,0.1
Dallas,Arkansas,610,7009,0.09
Desha,Arkansas,1100,11361,0.1
Drew,Arkansas,2656,18219,0.15
Faulkner,Arkansas,23183,126007,0.18
Franklin,Arkansas,1459,17715,0.08
Fulton,Arkansas,1083,12477,0.09
Garland,Arkansas,15464,99386,0.16
Grant,Arkansas,2380,18265,0.13
Greene,Arkansas,4859,45325,0.11
Hempstead,Arkansas,2162,21532,0.1
Hot Spring,Arkansas,3227,33771,0.1
Howard,Arkansas,1192,13202,0.09
Independence,Arkansas,4406,37825,0.12
Izard,Arkansas,1332,13629,0.1
Jackson,Arkansas,1239,16719,0.07
Jefferson,Arkansas,8439,66824,0.13
Johnson,Arkansas,2679,26578,0.1
Lafayette,Arkansas,775,6624,0.12
Lawrence,Arkansas,1730,16406,0.11
Lee,Arkansas,726,8857,0.08
Lincoln,Arkansas,1004,13024,0.08
Little River,Arkansas,1090,12259,0.09
Logan,Arkansas,2043,21466,0.1
Lonoke,Arkansas,9944,73309,0.14
Madison,Arkansas,1590,16576,0.1
Marion,Arkansas,2151,16694,0.13
Miller,Arkansas,4970,43257,0.11
Mississippi,Arkansas,3771,40651,0.09
Monroe,Arkansas,639,6701,0.1
Montgomery,Arkansas,902,8986,0.1
Nevada,Arkansas,853,8252,0.1
Newton,Arkansas,1172,7753,0.15
Ouachita,Arkansas,2370,23382,0.1
Perry,Arkansas,918,10455,0.09
Phillips,Arkansas,1653,17782,0.09
Pike,Arkansas,1301,10718,0.12
Poinsett,Arkansas,1804,23528,0.08
Polk,Arkansas,1981,19964,0.1
Pope,Arkansas,9220,64072,0.14
Prairie,Arkansas,923,8062,0.11
Pulaski,Arkansas,91541,391911,0.23
Randolph,Arkansas,1694,17958,0.09
St. Francis,Arkansas,1861,24994,0.07
Saline,Arkansas,22073,122437,0.18
Scott,Arkansas,652,10281,0.06
Searcy,Arkansas,689,7881,0.09
Sebastian,Arkansas,18122,127827,0.14
Sevier,Arkansas,1367,17007,0.08
Sharp,Arkansas,1261,17442,0.07
Stone,Arkansas,1279,12506,0.1
Union,Arkansas,5642,38682,0.15
Van Buren,Arkansas,1777,16545,0.11
Washington,Arkansas,46968,239187,0.2
White,Arkansas,10659,78753,0.14
Woodruff,Arkansas,655,6320,0.1
Yell,Arkansas,1858,21341,0.09
Alameda,California,556105,1671329,0.33
Alpine,California,266,1129,0.24
Amador,California,5837,39752,0.15
Butte,California,40149,219186,0.18
Calaveras,California,6384,45905,0.14
Colusa,California,2052,21547,0.1
Contra Costa,California,333398,1153526,0.29
Del Norte,California,2907,27812,0.1
El Dorado,California,46995,192843,0.24
Fresno,California,127919,999101,0.13
Glenn,California,2541,28393,0.09
Humboldt,California,28123,135558,0.21
Imperial,California,16760,181215,0.09
Inyo,California,3587,18039,0.2
Kern,California,88094,900202,0.1
Kings,California,13630,152940,0.09
Lake,California,7212,64386,0.11
Lassen,California,2928,30573,0.1
Los Angeles,California,2241079,10039107,0.22
Madera,California,14192,157327,0.09
Marin,California,113274,258826,0.44
Mariposa,California,3348,17203,0.19
Mendocino,California,15157,86749,0.17
Merced,California,22118,277680,0.08
Modoc,California,1024,8841,0.12
Mono,California,2861,14444,0.2
Monterey,California,68106,434061,0.16
Napa,California,35091,137744,0.25
Nevada,California,28307,99755,0.28
Orange,California,880086,3175692,0.28
Placer,California,107378,398329,0.27
Plumas,California,3432,18807,0.18
Riverside,California,347937,2470546,0.14
Sacramento,California,317319,1552058,0.2
San Benito,California,7686,62808,0.12
San Bernardino,California,283484,2180085,0.13
San Diego,California,871782,3338330,0.26
San Francisco,California,403716,881549,0.46
San Joaquin,California,87705,762148,0.12
San Luis Obispo,California,66812,283111,0.24
San Mateo,California,281049,766573,0.37
Santa Barbara,California,93973,446499,0.21
Santa Clara,California,699520,1927852,0.36
Santa Cruz,California,73511,273213,0.27
Shasta,California,28044,180080,0.16
Sierra,California,434,3005,0.14
Siskiyou,California,7343,43539,0.17
Solano,California,81736,447643,0.18
Sonoma,California,127582,494336,0.26
Stanislaus,California,58652,550660,0.11
Sutter,California,11424,96971,0.12
Tehama,California,6868,65084,0.11
Trinity,California,1922,12285,0.16
Tulare,California,39697,466195,0.09
Tuolumne,California,8471,54478,0.16
Ventura,California,192675,846006,0.23
Yolo,California,52851,220500,0.24
Yuba,California,8193,78668,0.1
Adams,Colorado,78690,517421,0.15
Alamosa,Colorado,2409,16233,0.15
Arapahoe,Colorado,187205,656590,0.29
Archuleta,Colorado,3767,14029,0.27
Baca,Colorado,558,3581,0.16
Bent,Colorado,517,5577,0.09
Boulder,Colorado,132071,326196,0.4
Broomfield,Colorado,26198,70465,0.37
Chaffee,Colorado,5244,20356,0.26
Cheyenne,Colorado,257,1831,0.14
Clear Creek,Colorado,3546,9700,0.37
Conejos,Colorado,1109,8205,0.14
Costilla,Colorado,539,3887,0.14
Crowley,Colorado,351,6061,0.06
Custer,Colorado,1240,5068,0.24
Delta,Colorado,4835,31162,0.16
Denver,Colorado,251499,727211,0.35
Dolores,Colorado,337,2055,0.16
Douglas,Colorado,128705,351154,0.37
Eagle,Colorado,18161,55127,0.33
Elbert,Colorado,6564,26729,0.25
El Paso,Colorado,174144,720403,0.24
Fremont,Colorado,6820,47839,0.14
Garfield,Colorado,12179,60061,0.2
Gilpin,Colorado,1948,6243,0.31
Grand,Colorado,4396,15734,0.28
Gunnison,Colorado,5959,17462,0.34
Hinsdale,Colorado,321,820,0.39
Huerfano,Colorado,1103,6897,0.16
Jackson,Colorado,195,1392,0.14
Jefferson,Colorado,187387,582881,0.32
Kiowa,Colorado,213,1406,0.15
Kit Carson,Colorado,972,7097,0.14
Lake,Colorado,1799,8127,0.22
La Plata,Colorado,17588,56221,0.31
Larimer,Colorado,107189,356899,0.3
Las Animas,Colorado,2058,14506,0.14
Lincoln,Colorado,518,5701,0.09
Logan,Colorado,3063,22409,0.14
Mesa,Colorado,29392,154210,0.19
Mineral,Colorado,324,769,0.42
Moffat,Colorado,1563,13283,0.12
Montezuma,Colorado,5510,26183,0.21
Montrose,Colorado,7487,42758,0.18
Morgan,Colorado,3216,29068,0.11
Otero,Colorado,2258,18278,0.12
Ouray,Colorado,1840,4952,0.37
Park,Colorado,4216,18845,0.22
Phillips,Colorado,667,4265,0.16
Pitkin,Colorado,8316,17767,0.47
Prowers,Colorado,1425,12172,0.12
Pueblo,Colorado,24679,168424,0.15
Rio Blanco,Colorado,958,6324,0.15
Rio Grande,Colorado,1873,11267,0.17
Routt,Colorado,9241,25638,0.36
Saguache,Colorado,1067,6824,0.16
San Juan,Colorado,173,728,0.24
San Miguel,Colorado,3593,8179,0.44
Sedgwick,Colorado,315,2248,0.14
Summit,Colorado,12232,31011,0.39
Teller,Colorado,7062,25388,0.28
Washington,Colorado,521,4908,0.11
Weld,Colorado,54106,324492,0.17
Yuma,Colorado,1446,10019,0.14
Fairfield,Connecticut,308399,943332,0.33
Hartford,Connecticut,237493,891720,0.27
Litchfield,Connecticut,47658,180333,0.26
Middlesex,Connecticut,50299,162436,0.31
New Haven,Connecticut,209002,854757,0.24
New London,Connecticut,62636,265206,0.24
Tolland,Connecticut,40173,150721,0.27
Windham,Connecticut,19805,116782,0.17
Kent,Delaware,28030,180786,0.16
New Castle,Delaware,138627,558753,0.25
Sussex,Delaware,47481,234225,0.2
District of Columbia,District of Columbia,289259,705749,0.41
Alachua,Florida,70092,269043,0.26
Baker,Florida,2525,29210,0.09
Bay,Florida,30463,174705,0.17
Bradford,Florida,1959,28201,0.07
Brevard,Florida,131166,601942,0.22
Broward,Florida,441489,1952778,0.23
Calhoun,Florida,1001,14105,0.07
Charlotte,Florida,35031,188910,0.19
Citrus,Florida,21141,149657,0.14
Clay,Florida,36062,219252,0.16
Collier,Florida,102709,384902,0.27
Columbia,Florida,7198,71686,0.1
DeSoto,Florida,3049,38001,0.08
Dixie,Florida,1302,16826,0.08
Duval,Florida,192175,957755,0.2
Escambia,Florida,56000,318316,0.18
Flagler,Florida,21038,115081,0.18
Franklin,Florida,1712,12125,0.14
Gadsden,Florida,5215,45660,0.11
Gilchrist,Florida,1642,18582,0.09
Glades,Florida,1139,13811,0.08
Gulf,Florida,2300,13639,0.17
Hamilton,Florida,823,14428,0.06
Hardee,Florida,1786,26937,0.07
Hendry,Florida,2130,42022,0.05
Hernando,Florida,25716,193920,0.13
Highlands,Florida,13591,106221,0.13
Hillsborough,Florida,326431,1471968,0.22
Holmes,Florida,1509,19617,0.08
Indian River,Florida,34512,159923,0.22
Jackson,Florida,4416,46414,0.1
Jefferson,Florida,2447,14246,0.17
Lafayette,Florida,698,8422,0.08
Lake,Florida,61408,367118,0.17
Lee,Florida,156706,770577,0.2
Leon,Florida,79612,293582,0.27
Levy,Florida,3609,41503,0.09
Liberty,Florida,858,8354,0.1
Madison,Florida,1906,18493,0.1
Manatee,Florida,85483,403253,0.21
Marion,Florida,53003,365579,0.15
Martin,Florida,41795,161000,0.26
Miami-Dade,Florida,570125,2716940,0.21
Monroe,Florida,20467,74228,0.28
Nassau,Florida,18053,88625,0.2
Okaloosa,Florida,43580,210738,0.21
Okeechobee,Florida,3283,42168,0.08
Orange,Florida,312816,1393452,0.22
Osceola,Florida,50606,375751,0.13
Palm Beach,Florida,393340,1496770,0.26
Pasco,Florida,91560,553947,0.17
Pinellas,Florida,235088,974996,0.24
Polk,Florida,95851,724777,0.13
Putnam,Florida,6432,74521,0.09
St. Johns,Florida,77518,264672,0.29
St. Lucie,Florida,49132,328297,0.15
Santa Rosa,Florida,33892,184313,0.18
Sarasota,Florida,118657,433742,0.27
Seminole,Florida,128662,471826,0.27
Sumter,Florida,35684,132420,0.27
Suwannee,Florida,4817,44417,0.11
Taylor,Florida,1344,21569,0.06
Union,Florida,1032,15237,0.07
Volusia,Florida,94124,553284,0.17
Wakulla,Florida,4278,33739,0.13
Walton,Florida,14275,74071,0.19
Washington,Florida,2238,25473,0.09
Appling,Georgia,1208,18386,0.07
Atkinson,Georgia,636,8165,0.08
Bacon,Georgia,769,11164,0.07
Baker,Georgia,290,3038,0.1
Baldwin,Georgia,6556,44890,0.15
Banks,Georgia,1736,19234,0.09
Barrow,Georgia,9857,83240,0.12
Bartow,Georgia,13091,107738,0.12
Ben Hill,Georgia,1255,16700,0.08
Berrien,Georgia,1510,19397,0.08
Bibb,Georgia,25373,153159,0.17
Bleckley,Georgia,1471,12873,0.11
Brantley,Georgia,1131,19109,0.06
Brooks,Georgia,1965,15457,0.13
Bryan,Georgia,7740,39627,0.2
Bulloch,Georgia,11472,79608,0.14
Burke,Georgia,1950,22383,0.09
Butts,Georgia,2078,24936,0.08
Calhoun,Georgia,429,6189,0.07
Camden,Georgia,8029,54666,0.15
Candler,Georgia,936,10803,0.09
Carroll,Georgia,15625,119992,0.13
Catoosa,Georgia,9832,67580,0.15
Charlton,Georgia,806,13392,0.06
Chatham,Georgia,65257,289430,0.23
Chattahoochee,Georgia,1510,10907,0.14
Chattooga,Georgia,1528,24789,0.06
Cherokee,Georgia,63567,258773,0.25
Clarke,Georgia,31201,128331,0.24
Clay,Georgia,275,2834,0.1
Clayton,Georgia,34324,292256,0.12
Clinch,Georgia,443,6618,0.07
Cobb,Georgia,238686,760141,0.31
Coffee,Georgia,3675,43273,0.08
Colquitt,Georgia,3764,45600,0.08
Columbia,Georgia,36382,156714,0.23
Cook,Georgia,1525,17270,0.09
Coweta,Georgia,28989,148509,0.2
Crawford,Georgia,916,12404,0.07
Crisp,Georgia,2136,22372,0.1
Dade,Georgia,1685,16116,0.1
Dawson,Georgia,5364,26108,0.21
Decatur,Georgia,2444,26404,0.09
DeKalb,Georgia,225060,759297,0.3
Dodge,Georgia,2123,20605,0.1
Dooly,Georgia,1200,13390,0.09
Dougherty,Georgia,12306,87956,0.14
Douglas,Georgia,26093,146343,0.18
Early,Georgia,1029,10190,0.1
Echols,Georgia,271,4006,0.07
Effingham,Georgia,7896,64296,0.12
Elbert,Georgia,1557,19194,0.08
Emanuel,Georgia,1938,22646,0.09
Evans,Georgia,1136,10654,0.11
Fannin,Georgia,4262,26188,0.16
Fayette,Georgia,35275,114421,0.31
Floyd,Georgia,13537,98498,0.14
Forsyth,Georgia,78687,244252,0.32
Franklin,Georgia,2469,23349,0.11
Fulton,Georgia,370539,1063937,0.35
Gilmer,Georgia,4559,31369,0.15
Glascock,Georgia,237,2971,0.08
Glynn,Georgia,17652,85292,0.21
Gordon,Georgia,5598,57963,0.1
Grady,Georgia,2359,24633,0.1
Greene,Georgia,3454,18324,0.19
Gwinnett,Georgia,215339,936250,0.23
Habersham,Georgia,5857,45328,0.13
Hall,Georgia,31756,204441,0.16
Hancock,Georgia,567,8457,0.07
Haralson,Georgia,2938,29792,0.1
Harris,Georgia,7503,35236,0.21
Hart,Georgia,2924,26205,0.11
Heard,Georgia,705,11923,0.06
Henry,Georgia,41430,234561,0.18
Houston,Georgia,28448,157863,0.18
Irwin,Georgia,943,9416,0.1
Jackson,Georgia,10408,72977,0.14
Jasper,Georgia,1370,14219,0.1
Jeff Davis,Georgia,1002,15115,0.07
Jefferson,Georgia,1052,15362,0.07
Jenkins,Georgia,461,8676,0.05
Johnson,Georgia,637,9643,0.07
Jones,Georgia,3846,28735,0.13
Lamar,Georgia,1922,19077,0.1
Lanier,Georgia,1128,10423,0.11
Laurens,Georgia,5152,47546,0.11
Lee,Georgia,4908,29992,0.16
Liberty,Georgia,6488,61435,0.11
Lincoln,Georgia,914,7921,0.12
Long,Georgia,2043,19559,0.1
Lowndes,Georgia,17240,117406,0.15
Lumpkin,Georgia,5390,33610,0.16
McDuffie,Georgia,1979,21312,0.09
McIntosh,Georgia,1948,14378,0.14
Macon,Georgia,835,12947,0.06
Madison,Georgia,3734,29880,0.13
Marion,Georgia,812,8359,0.1
Meriwether,Georgia,1541,21167,0.07
Miller,Georgia,575,5718,0.1
Mitchell,Georgia,1480,21863,0.07
Monroe,Georgia,5109,27578,0.19
Montgomery,Georgia,966,9172,0.11
Morgan,Georgia,2653,19276,0.14
Murray,Georgia,2665,40096,0.07
Muscogee,Georgia,32751,195769,0.17
Newton,Georgia,13695,111744,0.12
Oconee,Georgia,13063,40280,0.32
Oglethorpe,Georgia,1790,15259,0.12
Paulding,Georgia,23413,168667,0.14
Peach,Georgia,3631,27546,0.13
Pickens,Georgia,5288,32591,0.16
Pierce,Georgia,1628,19465,0.08
Pike,Georgia,2131,18962,0.11
Polk,Georgia,3773,42613,0.09
Pulaski,Georgia,1098,11137,0.1
Putnam,Georgia,3666,22119,0.17
Quitman,Georgia,124,2299,0.05
Rabun,Georgia,3069,17137,0.18
Randolph,Georgia,482,6778,0.07
Richmond,Georgia,28268,202518,0.14
Rockdale,Georgia,15542,90896,0.17
Schley,Georgia,452,5257,0.09
Screven,Georgia,1497,13966,0.11
Seminole,Georgia,971,8090,0.12
Spalding,Georgia,7917,66703,0.12
Stephens,Georgia,3664,25925,0.14
Stewart,Georgia,595,6621,0.09
Sumter,Georgia,3474,29524,0.12
Talbot,Georgia,570,6195,0.09
Taliaferro,Georgia,100,1537,0.07
Tattnall,Georgia,2354,25286,0.09
Taylor,Georgia,715,8020,0.09
Telfair,Georgia,1043,15860,0.07
Terrell,Georgia,673,8531,0.08
Thomas,Georgia,7514,44451,0.17
Tift,Georgia,4671,40644,0.11
Toombs,Georgia,2835,26830,0.11
Towns,Georgia,2551,12037,0.21
Treutlen,Georgia,583,6901,0.08
Troup,Georgia,8691,69922,0.12
Turner,Georgia,650,7985,0.08
Twiggs,Georgia,726,8120,0.09
Union,Georgia,4087,24511,0.17
Upson,Georgia,2394,26320,0.09
Walker,Georgia,8070,69761,0.12
Walton,Georgia,13234,94593,0.14
Ware,Georgia,3710,35734,0.1
Warren,Georgia,481,5254,0.09
Washington,Georgia,1762,20374,0.09
Wayne,Georgia,2595,29927,0.09
Webster,Georgia,275,2607,0.11
Wheeler,Georgia,735,7855,0.09
White,Georgia,4769,30798,0.15
Whitfield,Georgia,10556,104628,0.1
Wilcox,Georgia,775,8635,0.09
Wilkes,Georgia,954,9777,0.1
Wilkinson,Georgia,678,8954,0.08
Worth,Georgia,1562,20247,0.08
Hawaii,Hawaii,41656,201513,0.21
Honolulu,Hawaii,238767,974563,0.25
Kalawao,Hawaii,15,86,0.17
Kauai,Hawaii,14909,72293,0.21
Maui,Hawaii,32119,167417,0.19
Ada,Idaho,118604,481587,0.25
Adams,Idaho,679,4294,0.16
Bannock,Idaho,15104,87808,0.17
Bear Lake,Idaho,750,6125,0.12
Benewah,Idaho,987,9298,0.11
Bingham,Idaho,5848,46811,0.12
Blaine,Idaho,5609,23021,0.24
Boise,Idaho,1560,7831,0.2
Bonner,Idaho,7687,45739,0.17
Bonneville,Idaho,21686,119062,0.18
Boundary,Idaho,1616,12245,0.13
Butte,Idaho,309,2597,0.12
Camas,Idaho,119,1106,0.11
Canyon,Idaho,24974,229849,0.11
Caribou,Idaho,837,7155,0.12
Cassia,Idaho,2600,24030,0.11
Clark,Idaho,67,845,0.08
Clearwater,Idaho,1211,8756,0.14
Custer,Idaho,779,4315,0.18
Elmore,Idaho,3140,27511,0.11
Franklin,Idaho,1409,13876,0.1
Fremont,Idaho,1825,13099,0.14
Gem,Idaho,2092,18112,0.12
Gooding,Idaho,1672,15179,0.11
Idaho,Idaho,2393,16667,0.14
Jefferson,Idaho,4060,29871,0.14
Jerome,Idaho,2322,24412,0.1
Kootenai,Idaho,27458,165697,0.17
Latah,Idaho,10134,40108,0.25
Lemhi,Idaho,1357,8027,0.17
Lewis,Idaho,486,3838,0.13
Lincoln,Idaho,345,5366,0.06
Madison,Idaho,5948,39907,0.15
Minidoka,Idaho,1821,21039,0.09
Nez Perce,Idaho,6419,40408,0.16
Oneida,Idaho,468,4531,0.1
Owyhee,Idaho,905,11823,0.08
Payette,Idaho,2391,23951,0.1
Power,Idaho,751,7681,0.1
Shoshone,Idaho,1062,12882,0.08
Teton,Idaho,3155,12142,0.26
Twin Falls,Idaho,11146,86878,0.13
Valley,Idaho,2588,11392,0.23
Washington,Idaho,1164,10194,0.11
Adams,Illinois,11510,65435,0.18
Alexander,Illinois,580,5761,0.1
Bond,Illinois,2683,16426,0.16
Boone,Illinois,8212,53544,0.15
Brown,Illinois,684,6578,0.1
Bureau,Illinois,4859,32628,0.15
Calhoun,Illinois,497,4739,0.1
Carroll,Illinois,2082,14305,0.15
Cass,Illinois,1284,12147,0.11
Champaign,Illinois,54913,209689,0.26
Christian,Illinois,4046,32304,0.13
Clark,Illinois,2172,15441,0.14
Clay,Illinois,1398,13184,0.11
Clinton,Illinois,5958,37562,0.16
Coles,Illinois,8555,50621,0.17
Cook,Illinois,1392515,5150233,0.27
Crawford,Illinois,2351,18667,0.13
Cumberland,Illinois,1175,10766,0.11
DeKalb,Illinois,19856,104897,0.19
De Witt,Illinois,2425,15638,0.16
Douglas,Illinois,2473,19465,0.13
DuPage,Illinois,313945,922921,0.34
Edgar,Illinois,2182,17161,0.13
Edwards,Illinois,628,6395,0.1
Effingham,Illinois,5312,34008,0.16
Fayette,Illinois,1727,21336,0.08
Ford,Illinois,1983,12961,0.15
Franklin,Illinois,4603,38469,0.12
Fulton,Illinois,4467,34340,0.13
Gallatin,Illinois,402,4828,0.08
Greene,Illinois,1195,12969,0.09
Grundy,Illinois,7756,51054,0.15
Hamilton,Illinois,987,8116,0.12
Hancock,Illinois,2722,17708,0.15
Hardin,Illinois,322,3821,0.08
Henderson,Illinois,929,6646,0.14
Henry,Illinois,8054,48913,0.16
Iroquois,Illinois,3129,27114,0.12
Jackson,Illinois,11955,56750,0.21
Jasper,Illinois,1113,9610,0.12
Jefferson,Illinois,4750,37684,0.13
Jersey,Illinois,3095,21773,0.14
Jo Daviess,Illinois,4032,21235,0.19
Johnson,Illinois,1472,12417,0.12
Kane,Illinois,114683,532403,0.22
Kankakee,Illinois,15139,109862,0.14
Kendall,Illinois,28658,128990,0.22
Knox,Illinois,6661,49699,0.13
Lake,Illinois,207440,696535,0.3
LaSalle,Illinois,13784,108669,0.13
Lawrence,Illinois,1764,15678,0.11
Lee,Illinois,4547,34096,0.13
Livingston,Illinois,3752,35648,0.11
Logan,Illinois,4059,28618,0.14
McDonough,Illinois,5873,29682,0.2
McHenry,Illinois,71708,307774,0.23
McLean,Illinois,46998,171517,0.27
Macon,Illinois,16058,104009,0.15
Macoupin,Illinois,5934,44926,0.13
Madison,Illinois,49613,262966,0.19
Marion,Illinois,3979,37205,0.11
Marshall,Illinois,1588,11438,0.14
Mason,Illinois,1582,13359,0.12
Massac,Illinois,1396,13772,0.1
Menard,Illinois,2093,12196,0.17
Mercer,Illinois,1934,15437,0.13
Monroe,Illinois,8460,34637,0.24
Montgomery,Illinois,3498,28414,0.12
Morgan,Illinois,4589,33658,0.14
Moultrie,Illinois,1845,14501,0.13
Ogle,Illinois,7624,50643,0.15
Peoria,Illinois,37594,179179,0.21
Perry,Illinois,1931,20916,0.09
Piatt,Illinois,3310,16344,0.2
Pike,Illinois,1951,15561,0.13
Pope,Illinois,435,4177,0.1
Pulaski,Illinois,487,5335,0.09
Putnam,Illinois,701,5739,0.12
Randolph,Illinois,3124,31782,0.1
Richland,Illinois,2310,15513,0.15
Rock Island,Illinois,23342,141879,0.16
St. Clair,Illinois,49954,259686,0.19
Saline,Illinois,3288,23491,0.14
Sangamon,Illinois,47107,194672,0.24
Schuyler,Illinois,1060,6768,0.16
Scott,Illinois,562,4951,0.11
Shelby,Illinois,2619,21634,0.12
Stark,Illinois,661,5342,0.12
Stephenson,Illinois,6261,44498,0.14
Tazewell,Illinois,24535,131803,0.19
Union,Illinois,2659,16653,0.16
Vermilion,Illinois,7791,75758,0.1
Wabash,Illinois,1486,11520,0.13
Warren,Illinois,2556,16844,0.15
Washington,Illinois,2113,13887,0.15
Wayne,Illinois,1772,16215,0.11
White,Illinois,1541,13537,0.11
Whiteside,Illinois,7162,55175,0.13
Will,Illinois,154876,690743,0.22
Williamson,Illinois,11575,66597,0.17
Winnebago,Illinois,44364,282572,0.16
Woodford,Illinois,8651,38459,0.22
Adams,Indiana,3284,35777,0.09
Allen,Indiana,69013,379299,0.18
Bartholomew,Indiana,18737,83779,0.22
Benton,Indiana,941,8748,0.11
