State,County,Population,Ratio,Household,Interaction,Death_rt_2020,Death_rt_2021
Florida,Leon,291863,0.27,116283,0.11860526920713702,59.95963859756119,181.59204832404245
Florida,Manatee,393847,0.21,145171,0.11516570087390723,109.94117004826748,311.54229942084106
Florida,Marion,360210,0.15,145622,0.08251677427044225,128.5361317009522,498.87565586741067
Florida,Martin,160420,0.26,65014,0.06385636997288957,130.90637077671113,326.01919960104726
Florida,Miami-Dade,2705528,0.21,912805,0.7241379310344828,154.79418435144638,342.2622127732553
Florida,Monroe,75137,0.28,32839,0.03473537139877102,46.581577651489944,131.75931964278584
Florida,Nassau,85762,0.2,35212,0.026603861647377575,76.95716051398055,290.3383783027448
Florida,Okaloosa,207430,0.21,76097,0.06036856079658967,111.36286940172589,280.09448970737117
Florida,Orange,1373784,0.22,457949,0.38059562141628994,54.44815196566564,166.76566330660424
Florida,Osceola,363666,0.13,111539,0.05477647622362975,79.19354572602333,257.10404602024937
Florida,Palm Beach,1482057,0.26,568915,0.558784980513835,127.86282848770324,291.6217122553316
Florida,Pasco,539885,0.17,212856,0.13669694531955215,69.64446132046639,299.8786778665827
Florida,Pinellas,970985,0.24,395286,0.3583823942455512,108.03462463374821,286.10122710443517
Florida,Polk,705735,0.13,238629,0.11719000300135866,111.94003414879523,358.6331980134186
Florida,Putnam,73784,0.09,30866,0.010494139984198009,97.58213162745311,519.0827279627019
Florida,Santa Rosa,255410,0.29,94761,0.10381297210247534,50.115500567714655,206.3349124936377
Florida,Sarasota,320914,0.15,116900,0.0662414395641778,158.60947169646695,421.29667138236414
Florida,Seminole,179587,0.18,66187,0.04500587333208796,174.845618001303,501.14986051328884
Florida,St. Johns,427766,0.27,187411,0.19115375512653401,26.416311721829224,111.50956363993399
Florida,St. Lucie,466695,0.27,181142,0.1847595579295272,86.78044547295343,224.34352200044998
Florida,Sumter,129938,0.27,59458,0.060645426214648336,92.35173698225307,365.5589588880851
Florida,Volusia,546107,0.17,219451,0.14093227979160108,82.21831985306909,301.58924899332914
Florida,Walton,71049,0.19,26475,0.01900262340277761,67.55900857154921,243.4939267266253
New York,Albany,306165,0.28,128284,0.21139953067735387,65.97749579475119,143.38673591037514
New York,Broome,192042,0.19,79309,0.08868487724538493,106.22676289561659,241.09309421897294
New York,Cattaraugus,76750,0.13,33056,0.025291066673195497,54.72312703583062,246.2540716612378
New York,Cayuga,76958,0.16,31489,0.02965188764882914,25.98820135658411,155.92920813950465
New York,Chautauqua,127584,0.16,55345,0.05211609520545107,16.45974416854778,173.2192124404314
New York,Chemung,84115,0.17,33490,0.033507155663699814,114.12946561255424,230.63662842537002
New York,Clinton,80320,0.16,31422,0.029588796522643124,9.9601593625498,70.96613545816733
New York,Dutchess,293524,0.24,110529,0.1561208750645036,79.72090868208392,182.26788950818332
New York,Erie,918873,0.24,398326,0.562630655130721,129.94178738519904,243.8857165244816
New York,Jefferson,111454,0.14,41214,0.033958327840324834,8.07508030218745,105.87327507312433
New York,Livingston,63218,0.18,23409,0.024798696932829604,37.96387104938467,147.11000031636559
New York,Madison,70990,0.18,25986,0.027528682920949638,92.97084096351598,163.40329623890688
New York,Monroe,743084,0.27,305284,0.4851112004640493,75.7653239741402,181.54071410500023
New York,Nassau,1355683,0.32,449798,0.8471123097378799,176.2949007990806,251.1649109710751
New York,Niagara,210145,0.18,90625,0.09600503693185027,83.75169525803612,223.65509529134644
New York,Oneida,229074,0.18,90273,0.0956321401263329,108.26195901761002,306.01465028767996
New York,Onondaga,461591,0.25,183218,0.2695762583383869,92.28949437922317,191.07824892599726
New York,Ontario,109774,0.26,46025,0.07042723521501831,56.47967642611183,131.17860331225972
New York,Orange,382077,0.19,131421,0.1469575363762717,133.48094755769125,217.75715366274338
New York,Oswego,117630,0.13,46640,0.03568415263909239,30.6044376434583,124.96812037745472
New York,Putnam,98714,0.28,34470,0.05680320088591242,67.87284478392122,107.38091861336791
New York,Rensselaer,159013,0.23,65790,0.08905559646539027,50.939231383597566,133.9513121568677
New York,Rockland,325213,0.26,101424,0.15519852046600802,179.88210803381168,247.53008028584344
New York,Saratoga,108352,0.16,42832,0.04033312114626218,36.91671588895452,246.41907855877142
New York,Schenectady,229313,0.29,93547,0.1596619233753564,36.195069620998375,115.99865685765744
New York,St. Lawrence,155086,0.22,62534,0.08096780845910752,27.081748191326103,102.52376101002025
New York,Steuben,95843,0.17,39283,0.03930312319907793,125.20476195444634,225.3685715180034
New York,Suffolk,1481364,0.25,499744,0.7352941176470588,155.194806948191,256.85786882899816
New York,Sullivan,75329,0.17,28960,0.028974835115579176,53.100399580506846,135.40601893029245
New York,Tompkins,102237,0.31,40322,0.07356601874277277,13.693672545164667,69.4464821933351
New York,Ulster,178371,0.24,69376,0.0979927605286848,79.048724288141,174.91632608439713
New York,Warren,64187,0.23,29593,0.04005809798146062,49.8543318740555,163.5845264617446
New York,Wayne,90103,0.16,36634,0.03449672114475553,39.95427455245663,138.73011997380775
New York,Westchester,968738,0.34,355136,0.7106358455529231,171.7698696654823,248.0546855806214
