t,A,B,C,D,E,F,G,H
13.6,0,0.005903143,0,0.085180784,0.109572037,0.102394746,0.266785399,0.212620537
13.66202,0,0,0.012294341,0.092299749,0.104326699,0.10070081,0.313833925,0.161987656
13.85798,0.02664999,0.006391376,0.028312527,0.082235602,0.104865843,0.12385059,0.301527657,0.177533642
14,0,0.052118103,0.004672789,0.096228756,0.09704831,0.10758406,0.324588249,0.192796972
14.06202,0,0.00755795,0.005537571,0.065572487,0.077377598,0.112354073,0.330115163,0.200682535
14.25798,0,0.049803708,0.01884709,0.088271878,0.122255902,0.136225245,0.298130254,0.217828797
14.4,0,0.035483112,0,0.094335177,0.11251762,0.121556025,0.283776974,0.223700899
14.46202,0.031007235,0.055235586,0.009737486,0.095206681,0.098464266,0.11948185,0.305702182,0.190833947
14.65798,0.00597287,0.015827486,0.030164702,0.079192769,0.09643026,0.076785004,0.303470443,0.194461047
14.8,0,0,0,0.056789347,0.055022437,0.133445514,0.326898105,0.191117212
14.86202,0.006958306,0.022309849,0.013255286,0.11035856,0.065329765,0.095076366,0.321603257,0.19091056
15.05798,0,0.002488265,0.019136623,0.088376915,0.118126596,0.133245369,0.311669218,0.201836001
15.2,0.002303996,0.01415817,0.043545796,0.070473221,0.073121075,0.124617072,0.324789611,0.182467038
15.26202,0,0.011947567,0.00301887,0.087093594,0.125466808,0.110615986,0.335501162,0.19988073
15.45798,0.0098268,0.033704966,0,0.089486143,0.08356232,0.114121948,0.315580632,0.223182813
15.6,0.015105558,0.016249299,0.002903206,0.032977602,0.093752791,0.11361411,0.332826376,0.163438056
15.66202,0.00458675,0,0.010874882,0.103218953,0.120555369,0.11562317,0.302805192,0.243973845
15.85798,0,0.010272482,0,0.04099221,0.083456092,0.099405998,0.294231092,0.17411369
16,0.019539087,0,0,0.057455567,0.079900789,0.08574907,0.290144879,0.181059763
16.06202,0.032040189,0.007337676,0.032759402,0.073540032,0.083997157,0.125183129,0.323400393,0.197791287
16.25798,0.007217902,0,0.00017756,0.056121513,0.129040471,0.105881575,0.285975861,0.185194813
16.4,0,0,0.006574466,0.065154376,0.076346156,0.095222537,0.303449834,0.202333889
16.46202,0.029621307,0.020996508,0.04106814,0.08596347,0.075440537,0.106616466,0.326700576,0.232893321
16.65798,0,0.038826022,0,0.060844584,0.089614342,0.079514335,0.296792844,0.1847035
16.8,0,0.016499146,0.015680411,0.097738818,0.097683129,0.107191774,0.311513454,0.203471374
16.86202,0.015259704,0.022259556,0.009577601,0.078368222,0.123412983,0.105867824,0.320268106,0.200260235
17.05798,0,0.017780132,0,0.076877931,0.056198256,0.118966078,0.281526743,0.195692445
17.2,0,0.016191176,0,0.071357207,0.112121814,0.080450624,0.322031855,0.215387323
17.26202,0,0.012375004,0,0.032322451,0.141538579,0.089001515,0.284516527,0.160166153
17.45798,0.033468893,0,0.000892719,0.03935841,0.124409178,0.094417972,0.297914515,0.182276596
17.6,0.010426775,0,0.028648406,0.0596513,0.082937657,0.080715919,0.307851485,0.20511471
17.66202,0.009789503,0.006304691,0.038714461,0.075451571,0.07408183,0.06656701,0.284601188,0.210812685
17.85798,0.013189994,0,0.018744128,0.037398544,0.139743818,0.126165965,0.25294051,0.210665222
18,0,0.014984741,0,0.045014003,0.111137952,0.132192516,0.303233832,0.214548078
18.06202,0.010594319,0,0.005589103,0.09535987,0.10691688,0.086006051,0.272979777,0.203397437
18.25798,0.002305295,0,0.001853248,0.082289179,0.086888288,0.062144748,0.306514995,0.187138123
18.4,0.017812795,0.008968609,0.003861759,0.008391446,0.132443499,0.080356688,0.297358426,0.195183758
18.46202,0.042508983,0,0,0.041488053,0.059762158,0.083359403,0.270474545,0.205369788
18.65798,0,0,0.011747009,0.027708977,0.090785984,0.056432671,0.309255583,0.213894182
18.8,0,0.029119761,0,0.077235911,0.125781385,0.066547231,0.302589443,0.242763158
18.86202,0,0.025525024,0,0.063472018,0.086091241,0.074224347,0.284594072,0.213488961
19.05798,0.020872624,0.0086474,0.002368015,0.051722928,0.110745419,0.081024467,0.274486739,0.213021179
19.2,0.026258692,0,0.010857543,0.07795329,0.103593341,0.104061152,0.280637717,0.222767759
19.26202,0.007637526,0.014543085,0.014124691,0.032642923,0.121025532,0.086996038,0.276044814,0.193907649
19.45798,0,0,0.005596141,0.037614238,0.134670172,0.11346124,0.269071059,0.186883838
19.6,0,0.014965134,0.046412006,0.06272839,0.103099922,0.054149315,0.29211178,0.191941399
19.66202,0.000442733,0.00576708,0.014296023,0.032222053,0.115321473,0.066752547,0.259678198,0.232630532
19.85798,0,0.002687094,0,0.089878931,0.089104399,0.02913252,0.283297467,0.215234434
20,0.027859929,0.018985801,0.023967773,0.010917837,0.121320536,0.070124932,0.334494033,0.2103781
