GEO_ID,County,State,Households_total
0500000US24043,Washington,Maryland,56225
0500000US24045,Wicomico,Maryland,38088
0500000US24510,Baltimore city,Maryland,242694
0500000US25001,Barnstable,Massachusetts,96509
0500000US25003,Berkshire,Massachusetts,53792
0500000US25005,Bristol,Massachusetts,220528
0500000US25009,Essex,Massachusetts,297898
0500000US25011,Franklin,Massachusetts,30927
0500000US25013,Hampden,Massachusetts,179970
0500000US25015,Hampshire,Massachusetts,60002
0500000US25017,Middlesex,Massachusetts,612366
0500000US25021,Norfolk,Massachusetts,269717
0500000US25023,Plymouth,Massachusetts,191041
0500000US25025,Suffolk,Massachusetts,309945
0500000US25027,Worcester,Massachusetts,316162
0500000US26005,Allegan,Michigan,43667
0500000US26017,Bay,Michigan,44887
0500000US26021,Berrien,Michigan,61809
0500000US26025,Calhoun,Michigan,53827
0500000US26037,Clinton,Michigan,30070
0500000US26045,Eaton,Michigan,44420
0500000US26049,Genesee,Michigan,169247
0500000US26055,Grand Traverse,Michigan,37408
0500000US26065,Ingham,Michigan,114534
0500000US26073,Isabella,Michigan,24690
0500000US26075,Jackson,Michigan,61403
0500000US26077,Kalamazoo,Michigan,103196
0500000US26081,Kent,Michigan,245437
0500000US26087,Lapeer,Michigan,33902
0500000US26091,Lenawee,Michigan,38499
0500000US26093,Livingston,Michigan,73502
0500000US26099,Macomb,Michigan,351666
0500000US26103,Marquette,Michigan,27981
0500000US26111,Midland,Michigan,34350
0500000US26115,Monroe,Michigan,60875
0500000US26121,Muskegon,Michigan,66148
0500000US26125,Oakland,Michigan,508464
0500000US26139,Ottawa,Michigan,105004
0500000US26145,Saginaw,Michigan,79050
0500000US26147,St. Clair,Michigan,63806
0500000US26155,Shiawassee,Michigan,26830
0500000US26159,Van Buren,Michigan,30974
0500000US26161,Washtenaw,Michigan,141680
0500000US26163,Wayne,Michigan,689270
0500000US27003,Anoka,Minnesota,131858
0500000US27013,Blue Earth,Minnesota,26461
0500000US27019,Carver,Minnesota,38860
0500000US27035,Crow Wing,Minnesota,28012
0500000US27037,Dakota,Minnesota,162895
0500000US27053,Hennepin,Minnesota,517091
0500000US27109,Olmsted,Minnesota,65635
0500000US27123,Ramsey,Minnesota,206124
0500000US27131,Rice,Minnesota,22861
0500000US27137,St. Louis,Minnesota,86448
0500000US27139,Scott,Minnesota,51474
0500000US27141,Sherburne,Minnesota,32686
0500000US27145,Stearns,Minnesota,59776
0500000US27163,Washington,Minnesota,97059
0500000US27171,Wright,Minnesota,49443
0500000US28033,DeSoto,Mississippi,65220
0500000US28035,Forrest,Mississippi,27340
0500000US28047,Harrison,Mississippi,74628
0500000US28049,Hinds,Mississippi,88471
0500000US28059,Jackson,Mississippi,56323
0500000US28067,Jones,Mississippi,24178
0500000US28075,Lauderdale,Mississippi,29367
0500000US28081,Lee,Mississippi,30378
0500000US28089,Madison,Mississippi,40046
0500000US28121,Rankin,Mississippi,57011
0500000US29019,Boone,Missouri,70721
0500000US29021,Buchanan,Missouri,33984
0500000US29031,Cape Girardeau,Missouri,31335
0500000US29037,Cass,Missouri,40544
0500000US29043,Christian,Missouri,33227
0500000US29047,Clay,Missouri,93066
0500000US29051,Cole,Missouri,31437
0500000US29071,Franklin,Missouri,42161
0500000US29077,Greene,Missouri,133900
0500000US29095,Jackson,Missouri,292571
0500000US29097,Jasper,Missouri,45019
0500000US29099,Jefferson,Missouri,83841
0500000US29165,Platte,Missouri,40332
0500000US29183,St. Charles,Missouri,150668
0500000US29187,St. Francois,Missouri,24021
0500000US29189,St. Louis,Missouri,410842
0500000US29510,St. Louis city,Missouri,146779
0500000US30013,Cascade,Montana,32816
0500000US30029,Flathead,Montana,40681
0500000US30031,Gallatin,Montana,46990
0500000US30049,Lewis and Clark,Montana,27405
0500000US30063,Missoula,Montana,50853
0500000US30111,Yellowstone,Montana,69989
0500000US31055,Douglas,Nebraska,222819
0500000US31109,Lancaster,Nebraska,128385
0500000US31153,Sarpy,Nebraska,68947
0500000US32003,Clark,Nevada,813607
0500000US32031,Washoe,Nevada,191091
0500000US33005,Cheshire,New Hampshire,29698
0500000US33009,Grafton,New Hampshire,35780
0500000US33011,Hillsborough,New Hampshire,162588
0500000US33013,Merrimack,New Hampshire,60017
0500000US33015,Rockingham,New Hampshire,124212
0500000US33017,Strafford,New Hampshire,50584
0500000US34001,Atlantic,New Jersey,101975
0500000US34003,Bergen,New Jersey,343733
0500000US34005,Burlington,New Jersey,170074
0500000US34007,Camden,New Jersey,187780
0500000US34009,Cape May,New Jersey,40939
0500000US34011,Cumberland,New Jersey,51360
0500000US34013,Essex,New Jersey,295976
0500000US34015,Gloucester,New Jersey,106705
0500000US34017,Hudson,New Jersey,266664
0500000US34019,Hunterdon,New Jersey,47901
0500000US34021,Mercer,New Jersey,130851
0500000US34023,Middlesex,New Jersey,285906
0500000US34025,Monmouth,New Jersey,240377
0500000US34027,Morris,New Jersey,184885
0500000US34029,Ocean,New Jersey,226725
0500000US34031,Passaic,New Jersey,168059
0500000US34033,Salem,New Jersey,24404
0500000US34035,Somerset,New Jersey,122606
0500000US34037,Sussex,New Jersey,54099
0500000US34039,Union,New Jersey,192848
0500000US34041,Warren,New Jersey,42397
0500000US35001,Bernalillo,New Mexico,271307
0500000US35005,Chaves,New Mexico,24671
0500000US35013,Do��,New Mexico,79094
0500000US35025,Lea,New Mexico,24478
0500000US35031,McKinley,New Mexico,21719
0500000US35035,Otero,New Mexico,24133
0500000US35043,Sandoval,New Mexico,53251
0500000US35045,San Juan,New Mexico,42561
0500000US35049,Santa Fe,New Mexico,62182
0500000US35061,Valencia,New Mexico,24829
0500000US36001,Albany,New York,128284
0500000US36005,Bronx,New York,513890
0500000US36007,Broome,New York,79309
0500000US36009,Cattaraugus,New York,33056
0500000US36011,Cayuga,New York,31489
0500000US36013,Chautauqua,New York,55345
0500000US36015,Chemung,New York,33490
0500000US36019,Clinton,New York,31422
0500000US36027,Dutchess,New York,110529
0500000US36029,Erie,New York,398326
0500000US36045,Jefferson,New York,41214
0500000US36047,Kings,New York,978091
0500000US36051,Livingston,New York,23409
0500000US36053,Madison,New York,25986
0500000US36055,Monroe,New York,305284
0500000US36059,Nassau,New York,449798
0500000US36061,New York,New York,768203
0500000US36063,Niagara,New York,90625
0500000US36065,Oneida,New York,90273
0500000US36067,Onondaga,New York,183218
0500000US36069,Ontario,New York,46025
0500000US36071,Orange,New York,131421
0500000US36075,Oswego,New York,46640
0500000US36079,Putnam,New York,34470
0500000US36081,Queens,New York,784552
0500000US36083,Rensselaer,New York,65790
0500000US36085,Richmond,New York,166297
0500000US36087,Rockland,New York,101424
0500000US36089,St. Lawrence,New York,42832
0500000US36091,Saratoga,New York,93547
0500000US36093,Schenectady,New York,62534
0500000US36101,Steuben,New York,39283
0500000US36103,Suffolk,New York,499744
0500000US36105,Sullivan,New York,28960
0500000US36109,Tompkins,New York,40322
0500000US36111,Ulster,New York,69376
0500000US36113,Warren,New York,29593
0500000US36117,Wayne,New York,36634
0500000US36119,Westchester,New York,355136
0500000US37001,Alamance,North Carolina,64316
0500000US37019,Brunswick,North Carolina,58385
