t,A,B,C,D,E,F,G
0.82,0.302377708,0.071821645,0.016308773,0.121612564,0.020767011,0.247697979,0.458354624
0.825,0.301335972,0.072700015,0.016135323,0.121678654,0.020661167,0.249733842,0.460797478
0.83,0.300289488,0.073287876,0.016041593,0.121871561,0.020584974,0.251034539,0.462671998
0.835,0.299275453,0.073593442,0.016247908,0.122209326,0.020469968,0.250970064,0.463856802
0.84,0.298132551,0.073938575,0.016721215,0.122683805,0.020116568,0.250259319,0.464873006
0.845,0.296672388,0.074688214,0.017385729,0.123281903,0.019308602,0.249827513,0.466334642
0.85,0.294913439,0.075896424,0.017980099,0.123942162,0.018038138,0.250422448,0.468476575
0.855,0.293184572,0.077150823,0.017964535,0.124530547,0.016609688,0.252525737,0.470964745
0.86,0.291820684,0.078021528,0.016814529,0.124913676,0.015345457,0.25653003,0.473429802
0.865,0.290773218,0.078489003,0.014756075,0.125088314,0.014410102,0.261510015,0.475728748
0.87,0.289643278,0.078908622,0.012700862,0.125170136,0.013824343,0.26533623,0.477925391
0.875,0.28806737,0.079621145,0.011515915,0.125267371,0.013592338,0.266091457,0.48009168
0.88,0.286141183,0.080697341,0.011403788,0.125375858,0.013611034,0.264298096,0.482304743
0.885,0.284214455,0.082058595,0.012199406,0.125429261,0.013718058,0.261828304,0.484644574
0.89,0.282569767,0.083591596,0.013584907,0.125370883,0.013774463,0.260272899,0.487137217
0.895,0.281126366,0.085010743,0.014467853,0.125197606,0.013766402,0.259684891,0.489527911
0.9,0.279685809,0.085974703,0.013505345,0.12492369,0.013720597,0.259618878,0.491470958
0.905,0.278154833,0.086294543,0.01014196,0.124576661,0.013684531,0.259715878,0.492735441
0.91,0.276751164,0.086231748,0.006149669,0.124223212,0.01376696,0.259873048,0.493429745
0.915,0.275746597,0.086128799,0.003713387,0.123936711,0.014084808,0.260035183,0.493724447
0.92,0.275154474,0.086177899,0.003777194,0.123746731,0.014496761,0.260193177,0.493774652
0.925,0.274539227,0.086310228,0.005129959,0.12360678,0.014412967,0.260417993,0.493708601
0.93,0.27343823,0.086433279,0.00637018,0.123462849,0.013220856,0.260779712,0.493648914
